id,total_utterance_length
nikluge-2024-대화 맥락 추론-train-000001,285
nikluge-2024-대화 맥락 추론-train-000002,285
nikluge-2024-대화 맥락 추론-train-000003,285
nikluge-2024-대화 맥락 추론-train-000004,285
nikluge-2024-대화 맥락 추론-train-000005,285
nikluge-2024-대화 맥락 추론-train-000006,415
nikluge-2024-대화 맥락 추론-train-000007,415
nikluge-2024-대화 맥락 추론-train-000008,415
nikluge-2024-대화 맥락 추론-train-000009,415
nikluge-2024-대화 맥락 추론-train-000010,415
nikluge-2024-대화 맥락 추론-train-000011,581
nikluge-2024-대화 맥락 추론-train-000012,581
nikluge-2024-대화 맥락 추론-train-000013,581
nikluge-2024-대화 맥락 추론-train-000014,581
nikluge-2024-대화 맥락 추론-train-000015,581
nikluge-2024-대화 맥락 추론-train-000016,360
nikluge-2024-대화 맥락 추론-train-000017,360
nikluge-2024-대화 맥락 추론-train-000018,360
nikluge-2024-대화 맥락 추론-train-000019,360
nikluge-2024-대화 맥락 추론-train-000020,360
nikluge-2024-대화 맥락 추론-train-000021,199
nikluge-2024-대화 맥락 추론-train-000022,199
nikluge-2024-대화 맥락 추론-train-000023,199
nikluge-2024-대화 맥락 추론-train-000024,199
nikluge-2024-대화 맥락 추론-train-000025,199
nikluge-2024-대화 맥락 추론-train-000026,537
nikluge-2024-대화 맥락 추론-train-000027,537
nikluge-2024-대화 맥락 추론-train-000028,537
nikluge-2024-대화 맥락 추론-train-000029,537
nikluge-2024-대화 맥락 추론-train-000030,537
nikluge-2024-대화 맥락 추론-train-000031,328
nikluge-2024-대화 맥락 추론-train-000032,328
nikluge-2024-대화 맥락 추론-train-000033,328
nikluge-2024-대화 맥락 추론-train-000034,328
nikluge-2024-대화 맥락 추론-train-000035,328
nikluge-2024-대화 맥락 추론-train-000036,146
nikluge-2024-대화 맥락 추론-train-000037,146
nikluge-2024-대화 맥락 추론-train-000038,146
nikluge-2024-대화 맥락 추론-train-000039,146
nikluge-2024-대화 맥락 추론-train-000040,146
nikluge-2024-대화 맥락 추론-train-000041,303
nikluge-2024-대화 맥락 추론-train-000042,303
nikluge-2024-대화 맥락 추론-train-000043,303
nikluge-2024-대화 맥락 추론-train-000044,303
nikluge-2024-대화 맥락 추론-train-000045,303
nikluge-2024-대화 맥락 추론-train-000046,346
nikluge-2024-대화 맥락 추론-train-000047,346
nikluge-2024-대화 맥락 추론-train-000048,346
nikluge-2024-대화 맥락 추론-train-000049,346
nikluge-2024-대화 맥락 추론-train-000050,346
nikluge-2024-대화 맥락 추론-train-000051,424
nikluge-2024-대화 맥락 추론-train-000052,424
nikluge-2024-대화 맥락 추론-train-000053,424
nikluge-2024-대화 맥락 추론-train-000054,424
nikluge-2024-대화 맥락 추론-train-000055,424
nikluge-2024-대화 맥락 추론-train-000056,482
nikluge-2024-대화 맥락 추론-train-000057,482
nikluge-2024-대화 맥락 추론-train-000058,482
nikluge-2024-대화 맥락 추론-train-000059,482
nikluge-2024-대화 맥락 추론-train-000060,482
nikluge-2024-대화 맥락 추론-train-000061,283
nikluge-2024-대화 맥락 추론-train-000062,283
nikluge-2024-대화 맥락 추론-train-000063,283
nikluge-2024-대화 맥락 추론-train-000064,283
nikluge-2024-대화 맥락 추론-train-000065,283
nikluge-2024-대화 맥락 추론-train-000066,486
nikluge-2024-대화 맥락 추론-train-000067,486
nikluge-2024-대화 맥락 추론-train-000068,486
nikluge-2024-대화 맥락 추론-train-000069,486
nikluge-2024-대화 맥락 추론-train-000070,486
nikluge-2024-대화 맥락 추론-train-000071,322
nikluge-2024-대화 맥락 추론-train-000072,322
nikluge-2024-대화 맥락 추론-train-000073,322
nikluge-2024-대화 맥락 추론-train-000074,322
nikluge-2024-대화 맥락 추론-train-000075,322
nikluge-2024-대화 맥락 추론-train-000076,192
nikluge-2024-대화 맥락 추론-train-000077,192
nikluge-2024-대화 맥락 추론-train-000078,192
nikluge-2024-대화 맥락 추론-train-000079,192
nikluge-2024-대화 맥락 추론-train-000080,192
nikluge-2024-대화 맥락 추론-train-000081,473
nikluge-2024-대화 맥락 추론-train-000082,473
nikluge-2024-대화 맥락 추론-train-000083,473
nikluge-2024-대화 맥락 추론-train-000084,473
nikluge-2024-대화 맥락 추론-train-000085,473
nikluge-2024-대화 맥락 추론-train-000086,295
nikluge-2024-대화 맥락 추론-train-000087,295
nikluge-2024-대화 맥락 추론-train-000088,295
nikluge-2024-대화 맥락 추론-train-000089,295
nikluge-2024-대화 맥락 추론-train-000090,295
nikluge-2024-대화 맥락 추론-train-000091,490
nikluge-2024-대화 맥락 추론-train-000092,490
nikluge-2024-대화 맥락 추론-train-000093,490
nikluge-2024-대화 맥락 추론-train-000094,490
nikluge-2024-대화 맥락 추론-train-000095,490
nikluge-2024-대화 맥락 추론-train-000096,223
nikluge-2024-대화 맥락 추론-train-000097,223
nikluge-2024-대화 맥락 추론-train-000098,223
nikluge-2024-대화 맥락 추론-train-000099,223
nikluge-2024-대화 맥락 추론-train-000100,223
nikluge-2024-대화 맥락 추론-train-000101,215
nikluge-2024-대화 맥락 추론-train-000102,215
nikluge-2024-대화 맥락 추론-train-000103,215
nikluge-2024-대화 맥락 추론-train-000104,215
nikluge-2024-대화 맥락 추론-train-000105,513
nikluge-2024-대화 맥락 추론-train-000106,513
nikluge-2024-대화 맥락 추론-train-000107,513
nikluge-2024-대화 맥락 추론-train-000108,513
nikluge-2024-대화 맥락 추론-train-000109,513
nikluge-2024-대화 맥락 추론-train-000110,221
nikluge-2024-대화 맥락 추론-train-000111,221
nikluge-2024-대화 맥락 추론-train-000112,221
nikluge-2024-대화 맥락 추론-train-000113,221
nikluge-2024-대화 맥락 추론-train-000114,221
nikluge-2024-대화 맥락 추론-train-000115,321
nikluge-2024-대화 맥락 추론-train-000116,321
nikluge-2024-대화 맥락 추론-train-000117,321
nikluge-2024-대화 맥락 추론-train-000118,321
nikluge-2024-대화 맥락 추론-train-000119,321
nikluge-2024-대화 맥락 추론-train-000120,421
nikluge-2024-대화 맥락 추론-train-000121,421
nikluge-2024-대화 맥락 추론-train-000122,421
nikluge-2024-대화 맥락 추론-train-000123,421
nikluge-2024-대화 맥락 추론-train-000124,421
nikluge-2024-대화 맥락 추론-train-000125,597
nikluge-2024-대화 맥락 추론-train-000126,597
nikluge-2024-대화 맥락 추론-train-000127,597
nikluge-2024-대화 맥락 추론-train-000128,597
nikluge-2024-대화 맥락 추론-train-000129,597
nikluge-2024-대화 맥락 추론-train-000130,323
nikluge-2024-대화 맥락 추론-train-000131,323
nikluge-2024-대화 맥락 추론-train-000132,323
nikluge-2024-대화 맥락 추론-train-000133,323
nikluge-2024-대화 맥락 추론-train-000134,323
nikluge-2024-대화 맥락 추론-train-000135,285
nikluge-2024-대화 맥락 추론-train-000136,285
nikluge-2024-대화 맥락 추론-train-000137,285
nikluge-2024-대화 맥락 추론-train-000138,285
nikluge-2024-대화 맥락 추론-train-000139,285
nikluge-2024-대화 맥락 추론-train-000140,358
nikluge-2024-대화 맥락 추론-train-000141,358
nikluge-2024-대화 맥락 추론-train-000142,358
nikluge-2024-대화 맥락 추론-train-000143,358
nikluge-2024-대화 맥락 추론-train-000144,358
nikluge-2024-대화 맥락 추론-train-000145,380
nikluge-2024-대화 맥락 추론-train-000146,380
nikluge-2024-대화 맥락 추론-train-000147,380
nikluge-2024-대화 맥락 추론-train-000148,380
nikluge-2024-대화 맥락 추론-train-000149,380
nikluge-2024-대화 맥락 추론-train-000150,463
nikluge-2024-대화 맥락 추론-train-000151,463
nikluge-2024-대화 맥락 추론-train-000152,463
nikluge-2024-대화 맥락 추론-train-000153,463
nikluge-2024-대화 맥락 추론-train-000154,463
nikluge-2024-대화 맥락 추론-train-000155,386
nikluge-2024-대화 맥락 추론-train-000156,386
nikluge-2024-대화 맥락 추론-train-000157,386
nikluge-2024-대화 맥락 추론-train-000158,386
nikluge-2024-대화 맥락 추론-train-000159,386
nikluge-2024-대화 맥락 추론-train-000160,378
nikluge-2024-대화 맥락 추론-train-000161,378
